CAP (MW),2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Armenia,1 249,1 289,1 298,1 287,1 312,1 327,1 336,1 336,1 336,1 336
Azerbaijan,1 023,1 084,1 078,1 103,1 105,1 106,1 131,1 145,1 149,1 152
Georgia,2 710,2 734,2 872,2 877,2 916,3 158,3 152,3 439,3 323,3 439
Russian Fed,49 749,50 556,51 332,51 475,51 466,51 702,51 795,52 295,52 427,52 501
Turkey,19 609,22 289,23 643,25 868,26 681,27 273,28 291,28 503,30 984,31 493
Europe,209 203,211 130,211 880,214 432,217 891,219 575,220 613,221 539,222 656,224 067
Albania,1 628,1 781,1 725,1 798,1 913,2 047,2 105,2 162,2 289,2 289
Andorra,46,46,46,46,46,46,46,46,46,46
Austria,13 309,13 383,13 532,13 650,14 116,14 150,14 516,14 597,14 605,14 546
Belarus,32,32,33,34,74,95,95,95,96,96
Belgium,1 427,1 429,1 431,1 422,1 419,1 417,1 418,1 414,1 416,1 417
Bosnia Herzg,2 121,2 122,2 131,2 137,2 180,2 211,2 236,2 239,2 249,2 206
Bulgaria,3 181,3 203,3 219,3 219,3 223,3 372,3 379,3 378,3 376,3 376
Croatia,2 129,2 178,2 180,2 195,2 192,2 193,2 200,2 200,2 200,2 202
Czechia,2 212,2 252,2 252,2 260,2 262,2 265,2 264,2 265,2 265,2 283
Denmark,9,9,9,7,9,7,7,7,7,7
Estonia,8,8,5,6,6,7,7,6,8,9
Faroe Islands,39,39,39,39,39,39,40,40,40,40
Finland,3 080,3 108,3 132,3 133,3 133,3 156,3 152,3 157,3 164,3 178
France,25 657,25 646,25 577,25 552,25 621,25 707,25 727,25 869,25 712,25 712
Germany,11 257,11 239,11 234,11 255,11 207,11 120,10 684,10 733,10 792,10 653
Greece,3 236,3 238,3 389,3 392,3 392,3 392,3 409,3 412,3 417,3 424
Hungary,56,57,57,57,57,57,57,58,58,58
Iceland,1 877,1 984,1 984,1 987,1 987,1 995,2 099,2 104,2 114,2 114
Ireland,529,529,529,529,529,529,529,529,529,529
Italy,21 880,22 009,22 098,22 220,22 298,22 426,22 499,22 541,22 695,22 712
Kosovo*,43,43,43,43,78,80,80,95,95,95
Latvia,1 576,1 587,1 588,1 588,1 564,1 564,1 565,1 587,1 586,1 596
Lithuania,876,876,877,877,877,877,877,877,877,886
Luxembourg,1 134,1 134,1 330,1 330,1 330,1 331,1 330,1 330,1 331,1 331
Moldova Rep,64,64,64,64,64,64,64,64,64,64
Montenegro,629,630,653,662,668,675,676,676,697,697
Netherlands,37,37,37,37,37,37,37,37,37,37
North Macedonia,595,617,630,658,661,671,674,678,684,822
Norway,30 509,31 033,31 240,31 372,31 817,31 912,32 530,32 797,33 732,34 813
Poland,2 351,2 355,2 364,2 370,2 385,2 390,2 391,2 397,2 400,2 384
Portugal,5 712,5 661,5 715,6 168,6 960,7 226,7 236,7 262,7 241,7 241
Romania,6 548,6 610,6 613,6 730,6 734,6 692,6 701,6 686,6 652,6 655
Serbia,2 966,2 931,3 017,3 022,3 030,3 038,3 043,3 074,3 082,3 097
Slovakia,2 522,2 523,2 523,2 522,2 524,2 523,2 528,2 527,2 529,2 529
Slovenia,1 254,1 299,1 296,1 295,1 293,1 347,1 343,1 351,1 352,1 358
Spain,18 550,19 185,19 223,20 053,20 080,20 079,20 080,20 114,20 117,20 116
Sweden,16 414,16 494,15 996,16 329,16 466,16 502,16 431,16 462,16 406,16 406
Switzerland,13 803,13 817,13 744,13 815,14 806,15 353,15 542,15 574,15 594,15 594
UK,4 437,4 453,4 474,4 677,4 733,4 770,4 773,4 773,4 775,4 793
Ukraine,5 470,5 489,5 851,5 883,6 079,6 213,6 243,6 325,6 328,6 656
European Union (27),145 205,146 311,146 468,148 457,149 976,150 628,150 630,151 060,151 035,150 908
Middle East,13 410,13 930,15 094,15 669,15 891,15 545,15 691,15 774,16 084,16 084
Iran IR,9 745,10 265,10 785,11 278,11 578,11 953,12 099,12 182,12 193,12 193
Iraq,2 514,2 514,2 514,2 514,2 514,1 797,1 797,1 797,1 797,1 797
Israel,7,7,7,7,7,7,7,7,306,306
Jordan,12,12,12,16,16,16,16,16,16,16
Lebanon,282,282,282,282,282,282,282,282,282,282
Syrian AR,850,850,1 494,1 572,1 494,1 490,1 490,1 490,1 490,1 490
N America,188 361,188 824,190 191,193 959,195 667,196 268,196 931,196 810,199 933,197 396
Canada,75 537,75 511,75 474,79 405,80 304,80 831,81 396,81 399,81 404,82 740
Greenland,91,91,91,91,91,91,91,91,91,91
Mexico,11 626,11 633,12 464,12 223,12 580,12 642,12 642,12 671,12 671,12 671
USA,101 107,101 589,102 162,102 240,102 692,102 703,102 801,102 649,105 767,101 894
Oceania,14 153,14 165,14 166,14 184,14 184,14 189,14 441,14 450,14 453,14 453
Australia,8 271,8 271,8 271,8 271,8 271,8 271,8 523,8 523,8 523,8 523
Fiji,139,138,138,138,138,138,138,138,138,138
Fr Polynesia,47,47,47,47,47,48,48,48,48,48
CAP (MW),2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Micronesia,,,1,1,1,1,1,1,1,1
New Caledon,78,78,78,78,78,78,78,78,81,81
New Zealand,5 368,5 381,5 381,5 381,5 381,5 381,5 381,5 389,5 389,5 389
Papua N Guin,240,240,240,258,258,258,258,258,258,258
Samoa,9,9,9,9,9,12,13,14,14,14
Solomon Is,0,0,0,0,0,0,0,0,0,0
Vanuatu,1,1,1,1,1,1,1,1,1,1
S America,142 690,144 931,149 575,153 663,163 748,167 414,172 429,177 436,177 804,178 033
Argentina,11 110,11 110,11 112,11 182,11 244,11 247,11 292,11 314,11 348,11 350
Bolivia,501,501,494,495,495,620,666,736,736,736
Brazil,84 294,86 019,89 194,91 651,96 930,100 333,104 482,109 143,109 318,109 426
Chile,5 993,6 095,6 446,6 500,6 672,6 685,6 680,6 683,6 773,6 807
Colombia,9 777,9 868,10 900,11 501,11 611,11 731,11 842,11 926,11 954,11 954
Ecuador,2 264,2 264,2 248,2 408,4 447,4 516,5 066,5 076,5 098,5 099
Fr Guiana,119,119,119,119,119,119,119,119,119,119
Guyana,2,2,2,2,2,2,2,2,2,2
Paraguay,8 810,8 810,8 810,8 810,8 810,8 810,8 810,8 810,8 810,8 810
Peru,3 479,3 544,3 651,4 139,5 179,5 112,5 230,5 387,5 406,5 490
South Georgia,0,0,0,0,0,0,0,0,0,0
Suriname,180,180,180,180,180,180,180,180,180,180
Uruguay,1 538,1 538,1 538,1 538,1 538,1 538,1 538,1 538,1 538,1 538
Venezuela,14 624,14 881,14 881,15 138,16 521,16 521,16 521,16 521,16 521,16 521
